year,population
1985,370000
1986,400000
1987,432000
1988,468000
1989,508000
1990,551000
1991,600000
1992,654000
1993,713000
1994,778000
1995,850000
1996,912000
1997,978000
1998,1050000
1999,1126000
2000,1208000
2001,1296000
2002,1390000
2003,1491000
2004,1600000
2005,1321000
2006,1456000
2007,1604000
2008,1772000
2009,1771000
2010,1905000
2011,1978000
2012,2105000
2013,2237000
2014,2374000
2015,2502000
2016,2698000
2017,2884000
2018,3050000
2019,3331000
2020,3411000
2021,3471000
2022,3551000
2023,3604000
2024,3700000
